,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
1074,Worst food I've ever tasted. Also the behavior of the stuffs was disgusting. They just put me on shame in front of my family. First and last time. -_-,0,worst food i've ever tasted  also the behavior of the stuffs was disgusting  they just put me on shame in front of my family  first and last time  -_-,"['worst', 'food', ""i've"", 'ever', 'tasted', 'also', 'the', 'behavior', 'of', 'the', 'stuffs', 'was', 'disgusting', 'they', 'just', 'put', 'me', 'on', 'shame', 'in', 'front', 'of', 'my', 'family', 'first', 'and', 'last', 'time', '-_-']",worst food I ever tasted also behavior stuff disgusting put shame front family first and last time -_-,worst food I ever tasted also behavior stuff disgusting put shame front family first and last time -_-
1075,Taste of their food is poor.service is also zero.,0,taste of their food is poor service is also zero,"['taste', 'of', 'their', 'food', 'is', 'poor', 'service', 'is', 'also', 'zero']",taste food poor service also zero,taste food poor service also zero
1076,"Environment good, calm. Decoration good. My complaint is that you didn't provide me garlic sauce which was included with french fries. That is one hell of a disappointment jekhane apnara sauce tar jonno extra takao rakhen.",0,environment good  calm  decoration good  my complaint is that you didn't provide me garlic sauce which was included with french fries  that is one hell of a disappointment jekhane apnara sauce tar jonno extra takao rakhen,"['environment', 'good', 'calm', 'decoration', 'good', 'my', 'complaint', 'is', 'that', 'you', ""didn't"", 'provide', 'me', 'garlic', 'sauce', 'which', 'was', 'included', 'with', 'french', 'fries', 'that', 'is', 'one', 'hell', 'of', 'a', 'disappointment', 'jekhane', 'apnara', 'sauce', 'tar', 'jonno', 'extra', 'takao', 'rakhen']",environment good calm decoration good complaint not provide garlic sauce included french fry one hell disappointment jekhane apnara sauce tar jonno extra takao rakhen,environment good calm decoration good complaint not provide garlic sauce included french fry one hell disappointment jekhane apnara sauce tar jonno extra takao rakhen
1077,Don't go there people... its waste of money and time....they are posting paid reviews on #FOODBANK And get money illegally by don't serving quality foods...,0,don't go there people    its waste of money and time    they are posting paid reviews on #foodbank and get money illegally by don't serving quality foods,"[""don't"", 'go', 'there', 'people', 'its', 'waste', 'of', 'money', 'and', 'time', 'they', 'are', 'posting', 'paid', 'reviews', 'on', '#foodbank', 'and', 'get', 'money', 'illegally', 'by', ""don't"", 'serving', 'quality', 'foods']",not go people waste money and time posting paid review #foodbank and get money illegally not serving quality food,not go people waste money and time posting paid review #foodbank and get money illegally not serving quality food
1078,If u have sweet it will refill ur sugar but if u have diabetics then its harm ful for ur health. So be careful.,0,if u have sweet it will refill ur sugar but if u have diabetics then its harm ful for ur health  so be careful,"['if', 'u', 'have', 'sweet', 'it', 'will', 'refill', 'ur', 'sugar', 'but', 'if', 'u', 'have', 'diabetics', 'then', 'its', 'harm', 'ful', 'for', 'ur', 'health', 'so', 'be', 'careful']",u sweet refill ur sugar but u diabetic harm ful ur health careful,u sweet refill ur sugar but u diabetic harm ful ur health careful
1079,"One of the worst kebabs I have had and today was one of the rare occasion that after a whole day of fasting I couldn't even finish my food. The taste seriously has to improve a lot, especially that of the fish chaap.",0,one of the worst kebabs i have had and today was one of the rare occasion that after a whole day of fasting i couldn't even finish my food  the taste seriously has to improve a lot  especially that of the fish chaap,"['one', 'of', 'the', 'worst', 'kebabs', 'i', 'have', 'had', 'and', 'today', 'was', 'one', 'of', 'the', 'rare', 'occasion', 'that', 'after', 'a', 'whole', 'day', 'of', 'fasting', 'i', ""couldn't"", 'even', 'finish', 'my', 'food', 'the', 'taste', 'seriously', 'has', 'to', 'improve', 'a', 'lot', 'especially', 'that', 'of', 'the', 'fish', 'chaap']",one worst kebab and today one rare occasion whole day fasting could not even finish food taste seriously improve lot especially fish chaap,one worst kebab and today one rare occasion whole day fasting could not even finish food taste seriously improve lot especially fish chaap
1080,Where do I start? Took long ass time to serve. Saw a huge RAT in the seating area so had to takeaway. Food was awful as well. Never going back... That rat is gonna give me nightmares,0,where do i start? took long ass time to serve  saw a huge rat in the seating area so had to takeaway  food was awful as well  never going back    that rat is gonna give me nightmares,"['where', 'do', 'i', 'start?', 'took', 'long', 'ass', 'time', 'to', 'serve', 'saw', 'a', 'huge', 'rat', 'in', 'the', 'seating', 'area', 'so', 'had', 'to', 'takeaway', 'food', 'was', 'awful', 'as', 'well', 'never', 'going', 'back', 'that', 'rat', 'is', 'gonna', 'give', 'me', 'nightmares']",start? took long as time serve saw huge rat seating area takeaway food awful well never going back rat gonna give nightmare,start? took long as time serve saw huge rat seating area takeaway food awful well never going back rat gonna give nightmare
1081,Bad taste,0,bad taste,"['bad', 'taste']",bad taste,bad taste
1082,"broken chairs & tables, fucked up service, take long time after ordering food, food is horrible no taste",0,broken chairs & tables  fucked up service  take long time after ordering food  food is horrible no taste,"['broken', 'chairs', '&', 'tables', 'fucked', 'up', 'service', 'take', 'long', 'time', 'after', 'ordering', 'food', 'food', 'is', 'horrible', 'no', 'taste']",broken chair & table fucked service take long time ordering food food horrible no taste,broken chair & table fucked service take long time ordering food food horrible no taste
1083,"No taste, no service, just waste of time. Will never visit again.",0,no taste  no service  just waste of time  will never visit again,"['no', 'taste', 'no', 'service', 'just', 'waste', 'of', 'time', 'will', 'never', 'visit', 'again']",no taste no service waste time never visit,no taste no service waste time never visit
1084,Price Vs food and service aren't good at all.,0,price vs food and service aren't good at all,"['price', 'vs', 'food', 'and', 'service', ""aren't"", 'good', 'at', 'all']",price v food and service not good,price v food and service not good
1085,Worst experience ever..... The price and quantity of food are not same... I don't wanna go there again....,0,worst experience ever      the price and quantity of food are not same    i don't wanna go there again,"['worst', 'experience', 'ever', 'the', 'price', 'and', 'quantity', 'of', 'food', 'are', 'not', 'same', 'i', ""don't"", 'wanna', 'go', 'there', 'again']",worst experience ever price and quantity food not not wanna go,worst experience ever price and quantity food not not wanna go
1086,Try something better. Come up with some new market strategy and environment,0,try something better  come up with some new market strategy and environment,"['try', 'something', 'better', 'come', 'up', 'with', 'some', 'new', 'market', 'strategy', 'and', 'environment']",try something better come new market strategy and environment,try something better come new market strategy and environment
1087,Tasteless food.poor service.will never visit again.,0,tasteless food poor service will never visit again,"['tasteless', 'food', 'poor', 'service', 'will', 'never', 'visit', 'again']",tasteless food poor service never visit,tasteless food poor service never visit
1088,Should not try their items. Totally waste money if u go there.,0,should not try their items  totally waste money if u go there,"['should', 'not', 'try', 'their', 'items', 'totally', 'waste', 'money', 'if', 'u', 'go', 'there']",should not try item totally waste money u go,should not try item totally waste money u go
1089,I have tried fried rice in many resturant but in sky view lounge I have tasted the worst fried rice ever . It tastes like is being cooked 2 days ago. I donâ€™t know how this sort of restaurant still exist ï¿½ï¿½ï¿½,0,i have tried fried rice in many resturant but in sky view lounge i have tasted the worst fried rice ever   it tastes like is being cooked 2 days ago  i donâ€™t know how this sort of restaurant still exist ï¿½ï¿½ï¿½,"['i', 'have', 'tried', 'fried', 'rice', 'in', 'many', 'resturant', 'but', 'in', 'sky', 'view', 'lounge', 'i', 'have', 'tasted', 'the', 'worst', 'fried', 'rice', 'ever', 'it', 'tastes', 'like', 'is', 'being', 'cooked', '2', 'days', 'ago', 'i', 'donâ€™t', 'know', 'how', 'this', 'sort', 'of', 'restaurant', 'still', 'exist', 'ï¿½ï¿½ï¿½']",tried fried rice many resturant but sky view lounge tasted worst fried rice ever taste like cooked 2 day ago donâ€™t know sort restaurant still exist ï¿½ï¿½ï¿½,tried fried rice many resturant but sky view lounge tasted worst fried rice ever taste like cooked 2 day ago donâ€™t know sort restaurant still exist ï¿½ï¿½ï¿½
1090,"I have ordered through foodpanda & the experience was worst! Fried rice was like hard beans,& it was smelly,stale food.grilled veg was also from rotten veg,only bbq chicken was ok! Just wastage of money! Awful",0,i have ordered through foodpanda & the experience was worst  fried rice was like hard beans & it was smelly stale food grilled veg was also from rotten veg only bbq chicken was ok  just wastage of money  awful,"['i', 'have', 'ordered', 'through', 'foodpanda', '&', 'the', 'experience', 'was', 'worst', 'fried', 'rice', 'was', 'like', 'hard', 'beans', '&', 'it', 'was', 'smelly', 'stale', 'food', 'grilled', 'veg', 'was', 'also', 'from', 'rotten', 'veg', 'only', 'bbq', 'chicken', 'was', 'ok', 'just', 'wastage', 'of', 'money', 'awful']",ordered foodpanda & experience worst fried rice like hard bean & smelly stale food grilled veg also rotten veg bbq chicken ok wastage money awful,ordered foodpanda & experience worst fried rice like hard bean & smelly stale food grilled veg also rotten veg bbq chicken ok wastage money awful
1091,"Environment and services are good but the food quantity of set menu is very very poor with a high charge. They don't attach drinks with set menu, that's really funny. First time I see any set menu without drink.this is so horrible. I Had to buy extra drinks for this cause without water and drinks how can I eat properly? What I do with this environment if the food quantity is poor and also this funny types of set menu without drinks??",0,environment and services are good but the food quantity of set menu is very very poor with a high charge  they don't attach drinks with set menu  that's really funny  first time i see any set menu without drink this is so horrible  i had to buy extra drinks for this cause without water and drinks how can i eat properly? what i do with this environment if the food quantity is poor and also this funny types of set menu without drinks??,"['environment', 'and', 'services', 'are', 'good', 'but', 'the', 'food', 'quantity', 'of', 'set', 'menu', 'is', 'very', 'very', 'poor', 'with', 'a', 'high', 'charge', 'they', ""don't"", 'attach', 'drinks', 'with', 'set', 'menu', ""that's"", 'really', 'funny', 'first', 'time', 'i', 'see', 'any', 'set', 'menu', 'without', 'drink', 'this', 'is', 'so', 'horrible', 'i', 'had', 'to', 'buy', 'extra', 'drinks', 'for', 'this', 'cause', 'without', 'water', 'and', 'drinks', 'how', 'can', 'i', 'eat', 'properly?', 'what', 'i', 'do', 'with', 'this', 'environment', 'if', 'the', 'food', 'quantity', 'is', 'poor', 'and', 'also', 'this', 'funny', 'types', 'of', 'set', 'menu', 'without', 'drinks??']",environment and service good but food quantity set menu very very poor high charge not attach drink set menu really funny first time see set menu without drink horrible buy extra drink cause without water and drink eat properly? environment food quantity poor and also funny type set menu without drinks??,environment and service good but food quantity set menu very very poor high charge not attach drink set menu really funny first time see set menu without drink horrible buy extra drink cause without water and drink eat properly? environment food quantity poor and also funny type set menu without drinks??
